i,start_days,end_days,mid_days,mass,empirical_cdf_at_end,predicted_cdf_unshifted_at_end,predicted_cdf_shifted_at_end,predicted_mass_unshifted_in_bin,predicted_mass_shifted_in_bin
0,0,1,0.5,0,0,0.0005652385446460739,0,0.0005652385446460739,0
1,1,2,1.5,0,0,0.01355071293281046,0,0.012985474388164386,0
2,2,3,2.5,0,0,0.05499103078388018,0,0.04144031785106972,0
3,3,4,3.5,0,0,0.12216954789264373,0,0.06717851710876355,0
4,4,5,4.5,0,0,0.2039700873926551,0,0.08180053950001137,0
5,5,6,5.5,1,0.030303030303030304,0.2903264776557449,0.05366856196501185,0.08635639026308978,0.05366856196501185
6,6,7,6.5,1,0.06060606060606061,0.3745434991818447,0.2445125401656565,0.08421702152609983,0.19084397820064464
7,7,8,7.5,11,0.3939393939393939,0.45288831058279894,0.41294492089203005,0.07834481140095423,0.16843238072637357
8,8,9,8.5,4,0.5151515151515151,0.5236624485586849,0.539795893970201,0.070774137975886,0.12685097307817095
9,9,"",9.5,16,1,1,1,0.47633755144131507,0.460204106029799
