i,start_days,end_days,mid_days,mass,empirical_cdf_at_end,predicted_cdf_unshifted_at_end,predicted_cdf_shifted_at_end
0,5,6,5.5,1,0.030303030303030304,0.2903264776557449,0.05366856196501185
1,6,7,6.5,1,0.06060606060606061,0.3745434991818447,0.2445125401656565
2,7,8,7.5,11,0.3939393939393939,0.45288831058279894,0.41294492089203005
3,8,9,8.5,4,0.5151515151515151,0.5236624485586849,0.539795893970201
4,9,10,9.5,1,0.5454545454545454,0.5864096479646772,0.6339136126171534
5,10,11,10.5,1,0.5757575757575758,0.6413709913371427,0.7044884690376743
7,12,13,12.5,5,0.7272727272727273,0.7304526933253148,0.7998748861696214
9,14,15,14.5,1,0.7575757575757576,0.7967582671777861,0.8586298876267892
10,15,16,15.5,3,0.8484848484848485,0.8231601512284247,0.8796307592875491
11,16,17,16.5,2,0.9090909090909091,0.8458861119416381,0.8967467658916529
12,17,18,17.5,1,0.9393939393939394,0.8654613759092807,0.9108336399908374
14,19,20,19.5,1,0.9696969696969697,0.8969139119393472,0.9323200447267599
15,20,21,20.5,1,1,0.9095154850898924,0.9405737686871174
